channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type
45,EinsPlus HD,TV,,HD,0x2889,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x040F,0x01,Sat,11052,H,22000,auto,DVB-S2,FTA
46,ZDFinfo HD,TV,,HD,0x2BA2,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F2,0x01,Sat,11347,V,22000,auto,DVB-S2,FTA
47,zdf_neo HD,TV,,HD,0x2B7A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA
48,zdf.kultur HD,TV,,HD,0x2B84,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03F3,0x01,Sat,11361,H,22000,auto,DVB-S2,FTA
49,NDR FS HH HD,TV,,HD,0x2859,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0401,0x01,Sat,11582,H,22000,auto,DVB-S2,FTA
50,WDR Köln HD,TV,,HD,0x6EA5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x04B1,0x01,Sat,12421,H,27500,auto,DVB-S,FTA
51,SWR BW HD,TV,,HD,0x283F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03FB,0x01,Sat,11494,H,22000,auto,DVB-S2,FTA
52,MDR S-Anhalt HD,TV,,HD,0x2871,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
53,rbb Berlin HD,TV,ARD,HD,0x286F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
54,SR Fernsehen,TV,,SD,0x6F46,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0445,0x01,Sat,12266,H,27500,auto,DVB-S,FTA
55,hr-fernsehen HD,TV,,HD,0x2873,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0425,0x01,Sat,10891,H,22000,auto,DVB-S2,FTA
56,GoTV,TV,GoTV,SD,0x332E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
57,DELUXE MUSIC,TV,,SD,0x0041,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0007,0x85,Sat,12148,H,27500,auto,DVB-S,FTA
58,iM1,TV,,SD,0x5278,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
59,joiz,TV,,SD,0x004A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0005,0x85,Sat,12461,H,27500,auto,DVB-S,FTA
60,Folx TV,TV,,SD,0x32DA,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
61,Deutsches Musik Fernsehen,TV,,SD,0x313C,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
62,HITRADIO OE3,TV,,SD,0x32D5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045D,0x01,Sat,12692,H,22000,auto,DVB-S,FTA
63,MagicStar Digitalradio Promo,TV,,SD,0x315A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0459,0x01,Sat,12633,H,22000,auto,DVB-S,FTA
64,LT1-OOE,TV,,SD,0x3330,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
65,Schau TV,TV,,SD,0x33A9,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
66,BTV,TV,,SD,0x3355,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x045B,0x01,Sat,12663,H,22000,auto,DVB-S,FTA
67,DAF Neu,TV,,SD,0x33AB,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x03EB,0x01,Sat,11244,H,22000,auto,DVB-S,FTA
68,HSE24 HD,TV,,HD,0x5270,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
69,QVC HD,TV,,HD,0x526F,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x041D,0x01,Sat,10773,H,22000,auto,DVB-S2,FTA
70,juwelo TV HD,TV,,HD,0x151B,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0455,0x01,Sat,12574,H,22000,auto,DVB-S2,FTA
71,EuroNews,TV,GlobeCast,SD,0x79F4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0443,0x01,Sat,12226,H,27500,auto,DVB-S,FTA
72,BBC World,TV,BBC,SD,0x2742,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
73,CNN Int.,TV,CNN,SD,0x6F6A,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x042C,0x01,Sat,11778,V,27500,auto,DVB-S,FTA
74,CNBC Europe,TV,CNBC,SD,0x272E,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0402,0x01,Sat,11597,V,22000,auto,DVB-S,FTA
75,PULS 4 HD Austria,TV,Austriasat,HD,0x14B7,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA
76,ProSieben HD Austria,TV,Austriasat,HD,0x14B5,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA
77,SAT.1 HD Austria,TV,Austriasat,HD,0x14B4,"	0x2000","	0x2000","	0x2000","	0x2000","	0x2000",Astra_1,0x0407,0x01,Sat,11671,H,22000,auto,DVB-S2,FTA
