channel_number,service_name,service_type,provider_name,video_type,service_id,pmt_pid,video_pid,audio_pid,pcr_pid,teletext_pid,satellite_type,ts_id,network_id,modulation,frequency,polarization,symbol_rate,fec,transport_spec,cas_type,
27,radioBERLIN 88.8,RADIO,,SD,0x6F27,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
28,radioeins,RADIO,,SD,0x6F28,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
29,Fritz,RADIO,,SD,0x6F29,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
30,Radio neue Hoffnung,RADIO,,SD,0x1C7C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA,
31,RTL RADIO,RADIO,,SD,0x1EFB,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA,
32,Radio Horeb,RADIO,,SD,0x1C79,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0457,0x01,Sat,12603,H,22000,auto,DVB-S,FTA,
33,BR-KLASSIK,RADIO,,SD,0x6EF3,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
34,B5 aktuell,RADIO,,SD,0x6EF4,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
35,B5 plus,RADIO,,SD,0x6EF8,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
36,BAYERN plus,RADIO,,SD,0x6EF5,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
37,DRadio DokDeb,RADIO,,SD,0x6D6F,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0437,0x01,Sat,11953,H,27500,auto,DVB-S,FTA,
38,PULS,RADIO,,SD,0x6EF6,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
39,RTL 1440,RADIO,,SD,0x0FDC,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0451,0x35,Sat,12515,H,22000,auto,DVB-S,FTA,
40,hr1,RADIO,,SD,0x6F03,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
41,hr2,RADIO,,SD,0x6F04,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
42,hr3,RADIO,,SD,0x6F05,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
43,hr4,RADIO,,SD,0x6F06,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
44,YOU FM,RADIO,,SD,0x6F07,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
45,hr-iNFO,RADIO,,SD,0x6F08,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
46,MDR1 SACHSEN,RADIO,,SD,0x6F0C,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
47,MDR S-ANHALT,RADIO,,SD,0x6F0D,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
48,MDR THÜRINGEN,RADIO,,SD,0x6F0E,0x2000,0x2000,0x2000,0x2000,0x2000,ASTRA_1,0x0445,0x01,Sat,12265,H,27500,auto,DVB-S,FTA,
